timestamp,open,high,low,close,volume
2024-06-27 19:00:00,61882.39,61890.0,61411.7,61450.0,669.77212
2024-06-27 20:00:00,61450.0,61582.0,61338.56,61493.11,559.60341
2024-06-27 21:00:00,61493.11,61587.06,61472.01,61536.04,310.78152
2024-06-27 22:00:00,61536.04,61672.46,61523.03,61640.01,339.93213
2024-06-27 23:00:00,61640.01,61719.92,61611.0,61706.47,595.73834
2024-06-28 00:00:00,61706.46,61729.85,61472.37,61560.0,596.69218
2024-06-28 01:00:00,61559.99,62225.31,61500.0,62091.99,1166.68712
2024-06-28 02:00:00,62091.99,62149.77,61584.76,61730.67,1571.98745
2024-06-28 03:00:00,61730.67,61919.33,61650.01,61828.17,614.97738
2024-06-28 04:00:00,61828.17,61834.41,61500.07,61750.44,564.53381
2024-06-28 05:00:00,61750.44,61750.44,61500.0,61604.01,509.45189
2024-06-28 06:00:00,61604.0,61669.41,61504.48,61620.96,419.18226
2024-06-28 07:00:00,61620.96,61620.96,61236.0,61350.01,1186.45262
2024-06-28 08:00:00,61350.01,61480.21,61212.11,61480.21,678.62809
2024-06-28 09:00:00,61480.21,61592.0,61349.99,61547.55,851.08559
2024-06-28 10:00:00,61547.55,61595.68,61435.41,61548.14,847.59463
2024-06-28 11:00:00,61548.14,61792.34,61482.96,61690.0,1020.21818
2024-06-28 12:00:00,61690.0,61875.0,61275.61,61395.09,2303.90314
2024-06-28 13:00:00,61395.09,61848.49,61233.92,61297.99,1809.2388
2024-06-28 14:00:00,61297.99,61510.0,60780.01,60928.02,2188.61778
2024-06-28 15:00:00,60928.01,61191.62,60751.0,61062.01,1344.07255
2024-06-28 16:00:00,61062.0,61119.58,60650.0,60940.01,1533.90519
2024-06-28 17:00:00,60940.01,61076.25,60708.32,60826.63,882.38291
2024-06-28 18:00:00,60826.63,60870.0,60669.74,60828.02,673.72332
2024-06-28 19:00:00,60828.02,60849.82,60079.41,60123.73,2041.46353
2024-06-28 20:00:00,60123.73,60357.93,60063.0,60229.92,814.30975
2024-06-28 21:00:00,60229.92,60400.0,60132.83,60366.01,463.63378
2024-06-28 22:00:00,60366.0,60412.4,60293.88,60367.99,408.98193
2024-06-28 23:00:00,60367.99,60450.0,60360.0,60427.84,329.46867
2024-06-29 00:00:00,60427.84,60820.0,60383.77,60770.71,1386.17567
2024-06-29 01:00:00,60770.71,61009.29,60757.04,60901.03,815.03662
2024-06-29 02:00:00,60901.03,60978.28,60703.53,60766.05,602.8214
2024-06-29 03:00:00,60766.05,60811.45,60714.04,60762.0,301.13975
2024-06-29 04:00:00,60762.0,60800.0,60704.46,60773.55,251.11233
2024-06-29 05:00:00,60773.55,60788.2,60726.05,60762.02,250.05971
2024-06-29 06:00:00,60762.02,60857.28,60742.08,60847.75,246.69071
2024-06-29 07:00:00,60847.75,61146.64,60831.44,61052.3,915.03523
2024-06-29 08:00:00,61052.3,61087.36,60912.72,60982.03,455.52026
2024-06-29 09:00:00,60982.03,61006.68,60890.03,60970.0,478.67677
2024-06-29 10:00:00,60970.0,61033.34,60907.8,60994.36,461.93585
2024-06-29 11:00:00,60994.36,61224.0,60923.74,61102.33,894.28566
2024-06-29 12:00:00,61102.33,61161.8,60990.74,61045.43,572.24837
2024-06-29 13:00:00,61045.43,61182.7,61010.0,61102.98,517.96661
2024-06-29 14:00:00,61102.98,61160.0,60949.67,61018.01,542.43096
2024-06-29 15:00:00,61018.01,61106.0,60956.79,61106.0,364.18703
2024-06-29 16:00:00,61106.0,61124.0,60915.12,61009.91,386.68835
2024-06-29 17:00:00,61009.91,61060.98,60937.03,61040.77,339.98388
2024-06-29 18:00:00,61040.77,61065.0,60990.0,61059.04,232.46287
2024-06-29 19:00:00,61059.04,61080.0,60933.98,61057.39,291.28873
2024-06-29 20:00:00,61057.38,61088.4,60970.0,61050.0,319.46435
2024-06-29 21:00:00,61050.0,61090.0,60944.94,61044.99,319.53467
2024-06-29 22:00:00,61044.99,61060.0,60839.51,60970.0,362.76005
2024-06-29 23:00:00,60970.0,61059.37,60940.0,60986.68,202.05321
2024-06-30 00:00:00,60986.68,61078.01,60922.0,61024.55,362.93786
2024-06-30 01:00:00,61024.55,61043.44,60930.03,60961.99,340.23076
2024-06-30 02:00:00,60961.99,60961.99,60740.94,60834.27,779.37325
2024-06-30 03:00:00,60834.27,60949.36,60791.98,60898.32,323.57561
2024-06-30 04:00:00,60898.32,60901.2,60765.18,60777.55,271.34112
2024-06-30 05:00:00,60777.54,60809.99,60712.21,60789.26,291.90375
2024-06-30 06:00:00,60789.26,61040.18,60771.33,61040.18,434.42125
2024-06-30 07:00:00,61040.17,61782.0,61040.17,61528.01,2146.12361
2024-06-30 08:00:00,61528.01,61608.07,61393.07,61556.01,715.99557
2024-06-30 09:00:00,61556.0,61713.65,61511.11,61529.7,632.89719
2024-06-30 10:00:00,61529.7,61634.72,61504.42,61540.0,379.8306
2024-06-30 11:00:00,61540.0,61668.0,61524.51,61560.0,624.88318
2024-06-30 12:00:00,61560.0,61660.0,61346.0,61496.0,533.79097
2024-06-30 13:00:00,61496.0,61747.0,61456.34,61719.61,738.73927
2024-06-30 14:00:00,61719.61,61860.0,61528.16,61587.11,880.16588
2024-06-30 15:00:00,61587.11,61776.71,61587.1,61717.9,512.18463
2024-06-30 16:00:00,61717.9,61749.08,61590.01,61603.54,407.98837
2024-06-30 17:00:00,61603.54,61864.01,61603.54,61707.99,754.34647
2024-06-30 18:00:00,61707.99,62109.81,61674.25,62055.31,745.67203
2024-06-30 19:00:00,62055.3,62100.0,61892.0,62026.83,585.15229
2024-06-30 20:00:00,62026.83,62412.42,61980.92,61990.01,1400.34505
2024-06-30 21:00:00,61990.0,62014.0,61835.2,61940.01,480.99924
2024-06-30 22:00:00,61940.0,62952.2,61940.0,62901.01,2054.44523
2024-06-30 23:00:00,62901.0,63058.76,62762.32,62772.01,928.95818
2024-07-01 00:00:00,62772.01,62944.0,62573.32,62931.99,987.12645
2024-07-01 01:00:00,62931.98,63730.0,62901.71,63640.82,2570.40171
2024-07-01 02:00:00,63640.81,63818.33,63288.53,63435.86,2037.33231
2024-07-01 03:00:00,63435.86,63536.47,63340.0,63437.69,1264.46281
2024-07-01 04:00:00,63437.69,63466.92,63223.2,63279.79,517.1528
2024-07-01 05:00:00,63279.79,63457.47,63262.0,63432.94,418.26492
2024-07-01 06:00:00,63432.94,63464.74,63293.75,63404.0,526.6083
2024-07-01 07:00:00,63403.99,63432.0,63260.71,63277.84,486.84295
2024-07-01 08:00:00,63277.84,63314.99,62836.47,62923.91,1388.89036
2024-07-01 09:00:00,62923.91,62997.98,62789.16,62938.97,731.18198
2024-07-01 10:00:00,62938.97,62977.99,62781.05,62852.24,615.27621
2024-07-01 11:00:00,62852.24,62858.0,62593.07,62662.09,1009.76623
2024-07-01 12:00:00,62662.09,62900.0,62641.99,62882.0,684.19991
2024-07-01 13:00:00,62882.0,63081.11,62497.2,62685.27,1326.77132
2024-07-01 14:00:00,62685.27,62944.0,62610.35,62826.02,1425.79805
2024-07-01 15:00:00,62826.02,63166.11,62815.63,63132.9,1077.93682
2024-07-01 16:00:00,63132.9,63338.12,62966.77,63119.33,1324.97385
2024-07-01 17:00:00,63119.33,63697.66,63056.83,63697.66,1361.75841
2024-07-01 18:00:00,63697.66,63861.76,63438.45,63649.99,1532.83742
2024-07-01 19:00:00,63649.99,63649.99,63071.36,63226.78,1260.38786
2024-07-01 20:00:00,63226.78,63423.48,63162.06,63292.53,543.30696
2024-07-01 21:00:00,63292.53,63292.53,63036.82,63130.01,342.5251
2024-07-01 22:00:00,63130.01,63162.5,62804.6,62975.1,658.76429
2024-07-01 23:00:00,62975.1,63037.18,62834.0,62899.99,454.53836
2024-07-02 00:00:00,62900.0,62988.0,62787.42,62926.65,395.65337
2024-07-02 01:00:00,62926.65,62960.86,62815.71,62926.0,299.28933
2024-07-02 02:00:00,62926.0,63127.1,62924.0,62999.56,514.46846
2024-07-02 03:00:00,62999.56,63288.83,62991.03,63138.67,469.50682
2024-07-02 04:00:00,63138.68,63245.8,63038.01,63038.01,532.00551
2024-07-02 05:00:00,63038.02,63094.73,63002.0,63024.0,265.73488
2024-07-02 06:00:00,63024.0,63048.86,62818.72,62866.0,698.37544
2024-07-02 07:00:00,62866.01,62880.0,62580.0,62629.99,1022.41571
2024-07-02 08:00:00,62630.0,62746.55,62401.23,62670.01,1141.20358
2024-07-02 09:00:00,62670.01,62795.68,62601.18,62650.01,1695.32553
2024-07-02 10:00:00,62650.01,62801.05,62485.63,62715.98,787.71878
2024-07-02 11:00:00,62715.98,62866.2,62616.28,62832.01,514.78225
2024-07-02 12:00:00,62832.01,63042.91,62723.79,62878.45,673.25581
2024-07-02 13:00:00,62878.45,63152.0,62517.81,62626.92,1356.82371
2024-07-02 14:00:00,62626.92,62730.0,61867.29,62035.43,2827.22625
2024-07-02 15:00:00,62035.43,62160.04,61823.74,61948.08,1109.28372
2024-07-02 16:00:00,61948.08,62026.45,61806.28,61920.89,889.07011
2024-07-02 17:00:00,61920.9,62152.2,61888.0,62147.98,462.22418
2024-07-02 18:00:00,62147.99,62368.81,62141.81,62330.01,814.72882
2024-07-02 19:00:00,62330.01,62367.51,61884.01,61939.1,675.61066
2024-07-02 20:00:00,61939.1,62080.73,61875.55,62012.01,458.46831
2024-07-02 21:00:00,62012.01,62089.61,61903.41,61958.02,440.44409
2024-07-02 22:00:00,61958.03,62113.63,61958.02,62090.01,298.89309
2024-07-02 23:00:00,62090.01,62181.24,62078.53,62135.47,230.61034
2024-07-03 00:00:00,62135.46,62285.94,62093.36,62094.02,364.83454
2024-07-03 01:00:00,62094.02,62218.0,61228.8,61617.91,1595.13007
2024-07-03 02:00:00,61617.9,61617.91,61245.96,61362.0,1459.75063
2024-07-03 03:00:00,61362.01,61371.19,60600.0,60987.99,1725.86161
2024-07-03 04:00:00,60988.0,60988.0,60816.0,60883.9,581.25951
2024-07-03 05:00:00,60883.89,61121.52,60859.53,61121.52,574.89166
2024-07-03 06:00:00,61121.52,61181.84,60976.56,61014.0,589.70734
2024-07-03 07:00:00,61014.0,61029.39,60845.01,60870.01,610.74449
2024-07-03 08:00:00,60870.01,60978.19,60390.0,60497.59,2958.54949
2024-07-03 09:00:00,60497.6,60667.18,60320.0,60606.01,1299.50781
2024-07-03 10:00:00,60606.02,60618.0,59600.0,60383.99,3193.58654
